编码,名称,年份,季度,日期,ROE,净利润率,净利润同比增长率,资产负债率,现金流比率,市净率,市净率相对值,股价
sz.300943,春晖智控,2023,1,2023-05-29,0.039068,0.35076,2.031328,0.207244,-0.47298,3.64788,0.10959794383392196,16.86
sz.300945,曼卡龙,2023,1,2023-05-29,0.032309,0.07698,0.28834,0.08375,0.070117,3.60322,0.05926029512825564,14.75
sz.300946,恒而达,2023,1,2023-05-29,0.02593,0.199235,0.047837,0.144441,0.072807,3.539809,0.027421383489243594,32.1
sz.300947,德必集团,2023,1,2023-05-29,0.001919,0.011802,-0.892054,0.780409,0.662192,1.625796,0.057811104897251483,13.69
sz.300948,冠中生态,2023,1,2023-05-29,0.007946,0.096701,1.010907,0.346853,0.232885,2.36218,0.026604242713635293,14.31
sz.300949,奥雅股份,2023,1,2023-05-29,-0.027546,-0.307715,0.231515,0.228128,-0.496609,1.97653,0.03673541198453974,36.76
sz.300950,德固特,2023,1,2023-05-29,0.031776,0.2233,2.780285,0.285044,0.358515,4.467797,0.06413277455243578,19.48
sz.300951,博硕科技,2023,1,2023-05-29,0.034334,0.267565,0.097717,0.176054,0.776493,2.976818,0.015008475539891939,53.65
sz.300952,恒辉安防,2023,1,2023-05-29,0.012202,0.066178,-0.018402,0.269934,0.167309,2.900109,0.03714890886735032,20.9
sz.300953,震裕科技,2023,1,2023-05-29,0.006565,0.014747,-0.718811,0.694806,-0.228002,3.121741,0.011559372921484644,73.35
sz.300955,嘉亨家化,2023,1,2023-05-29,0.005488,0.0253,-0.674828,0.365266,0.083657,2.218275,0.018204537186069805,21.88
sz.300956,英力股份,2023,1,2023-05-29,-0.019127,-0.087031,-2.753133,0.450334,0.222886,1.952234,0.0457944545424578,15.15
sz.300957,贝泰妮,2023,1,2023-05-29,0.028105,0.17956,0.066008,0.10776,-0.227927,6.944459,0.00779146448662949,93.61
sz.300958,建工修复,2023,1,2023-05-29,0.015012,0.053768,0.050832,0.600126,0.267962,2.245568,0.009105680275815754,17.98
sz.300959,线上线下,2023,1,2023-05-29,0.010777,0.025249,-0.26471,0.11033,-0.046026,2.547393,0.026459701063189178,37.7
sz.300960,通业科技,2023,1,2023-05-29,-0.010455,-0.168184,0.386384,0.263413,-0.417571,3.136043,0.05030667927369055,19.39
sz.300961,深水海纳,2023,1,2023-05-29,-0.00664,-0.061366,-1.95034,0.599177,-0.364887,1.833707,0.021344464288886228,10.68
sz.300962,中金辐照,2023,1,2023-05-29,0.032489,0.383001,0.044069,0.141394,0.48342,5.069304,0.11008827972481529,17.6
sz.300963,中洲特材,2023,1,2023-05-29,0.022455,0.094368,0.693306,0.300367,-0.086651,3.180351,0.11615974666273894,19.3
sz.300964,本川智能,2023,1,2023-05-29,0.007273,0.057304,-0.474787,0.259601,0.294982,3.634809,0.14282963007163513,47.48
sz.300965,恒宇信通,2023,1,2023-05-29,-0.00176,-0.112195,-4.530675,0.12097,-1.318905,1.985863,0.019498834414899788,45.61
sz.300966,共同药业,2023,1,2023-05-29,0.004327,0.030573,-0.714227,0.525838,-0.4806,3.302743,0.020479537409528046,23.94
sz.300967,晓鸣股份,2023,1,2023-05-29,-0.013996,-0.052501,-1.813645,0.469534,0.187646,3.616292,0.046434509008403256,14.98
sz.300968,格林精密,2023,1,2023-05-29,-0.005714,-0.038313,-2.101396,0.153266,0.342937,1.758014,0.02137321627981159,8.15
sz.300969,恒帅股份,2023,1,2023-05-29,0.0437,0.22274,0.285027,0.194422,0.257644,5.68991,0.09143811594053947,67.91
sz.300970,华绿生物,2023,1,2023-05-29,0.082568,0.392587,3.88129,0.221273,0.426669,1.602051,0.06625108098060212,22.52
sz.300971,博亚精工,2023,1,2023-05-29,0.016859,0.18791,0.152395,0.231405,0.013903,2.218551,0.08044658751489701,24.94
sz.300972,万辰生物,2023,1,2023-05-29,0.075675,0.060279,0.888093,0.501936,0.038733,9.492179,0.8274936132045659,44.7
sz.300973,立高食品,2023,1,2023-05-29,0.021893,0.062556,0.241872,0.353126,-0.024203,5.965598,0.01882276486723564,77.12
sz.300975,商络电子,2023,1,2023-05-29,0.011828,0.016431,-0.699218,0.599884,0.031454,2.524861,0.03088939579393657,6.8
sz.300976,达瑞电子,2023,1,2023-05-29,0.000795,0.00488,-0.939322,0.084046,0.438458,1.465992,0.01588070749579372,49.32
sz.300977,深圳瑞捷,2023,1,2023-05-29,0.004991,0.081528,1.299204,0.134112,-0.305435,1.730343,0.031170692567843675,23.57
sz.300978,东箭科技,2023,1,2023-05-29,0.022167,0.080346,1.441657,0.383263,0.121146,3.269021,0.09755886605390897,12.35
sz.300979,华利集团,2023,1,2023-05-29,0.035923,0.131425,-0.257724,0.232703,0.201916,3.556188,0.0,41.42
sz.300980,祥源新材,2023,1,2023-05-29,0.002574,0.036927,-0.761647,0.179312,-0.152482,2.244044,0.03841451246018852,19.83
sz.300981,中红医疗,2023,1,2023-05-29,-0.00101,-0.010101,-1.070893,0.176644,-0.151242,1.079368,0.028113548965043873,16.92
sz.300982,苏文电能,2023,1,2023-05-29,0.031082,0.165807,1.290323,0.302277,-0.447811,3.432656,0.04355366070790702,62.78
sz.300983,尤安设计,2023,1,2023-05-29,-0.002769,-0.151896,0.568078,0.049621,0.213322,1.266586,0.01367073133660605,30.52
sz.300984,金沃股份,2023,1,2023-05-29,0.028187,0.085934,1.077842,0.426892,0.127808,2.771379,0.05605038129566046,23.92
sz.300985,致远新能,2023,1,2023-05-29,-0.030386,-0.164735,-7.823891,0.353486,-1.216075,2.886385,0.04662225508634147,25.3
sz.300986,志特新材,2023,1,2023-05-29,0.001319,-0.002284,-1.142614,0.629137,0.03847,3.558303,0.14186343848801866,30.41
sz.300987,川网传媒,2023,1,2023-05-29,0.007726,0.142292,0.662571,0.101115,-0.125088,4.210522,0.08918813049184211,19.75
sz.300988,津荣天宇,2023,1,2023-05-29,0.016652,0.054209,-0.053143,0.338631,-0.254694,2.610133,0.03446369396129876,20.39
sz.300989,蕾奥规划,2023,1,2023-05-29,0.003768,0.036575,-0.770097,0.086561,-0.996508,2.600357,0.043491920598621864,24.2
sz.300990,同飞股份,2023,1,2023-05-29,0.017206,0.103911,0.35235,0.118322,-0.128953,4.850422,0.24762445225072469,86.25
sz.300991,创益通,2023,1,2023-05-29,-0.013619,-0.088228,-2.616254,0.48326,0.214826,4.041675,0.08051909736872569,17.58
sz.300992,泰福泵业,2023,1,2023-05-29,0.01285,0.074572,-0.01067,0.433149,0.305855,2.320821,0.028063330111123233,19.04
sz.300993,玉马遮阳,2023,1,2023-05-29,0.021039,0.207174,0.003147,0.064662,0.201248,2.647531,0.1114010747486552,11.15
sz.300994,久祺股份,2023,1,2023-05-29,0.012233,0.027208,-0.688072,0.280285,-0.196026,3.209832,0.019962368434334382,18.82
sz.300995,奇德新材,2023,1,2023-05-29,0.004841,0.051447,-0.557591,0.128955,-0.13847,2.538738,0.034489943879543496,19.32
sz.300996,普联软件,2023,1,2023-05-29,-0.016744,-0.388693,-0.490799,0.123587,-3.136223,5.967852,0.21238464178600366,34.01
sz.300997,欢乐家,2023,1,2023-05-29,0.062923,0.164977,0.660193,0.266456,-0.102403,4.704513,0.08944165665191016,14.33
sz.300998,宁波方正,2023,1,2023-05-29,0.004755,0.020681,-0.101098,0.382528,0.072327,3.284438,0.03424822371823759,32.3
sz.300999,金龙鱼,2023,1,2023-05-29,0.009571,0.012523,2.470021,0.59303,0.128858,2.418654,0.009334756320781628,40.05
sz.301000,肇民科技,2023,1,2023-05-29,0.017987,0.154256,-0.254013,0.112382,-0.012233,2.619504,0.029969043222052304,31.05
sz.301001,凯淳股份,2023,1,2023-05-29,0.001635,0.009468,1.144258,0.170429,0.341973,2.683227,0.06746312978739741,27.5
sz.301002,崧盛股份,2023,1,2023-05-29,0.005146,0.026197,-0.774618,0.456468,0.525001,3.127442,0.011559103270829594,20.56
sz.301003,江苏博云,2023,1,2023-05-29,0.020377,0.215659,-0.328208,0.017262,0.387906,2.030304,0.012980935002223084,23.05
sz.301004,嘉益股份,2023,1,2023-05-29,0.058922,0.219208,0.617773,0.217854,0.074325,3.59543,0.14898714788749368,32.35
sz.301005,超捷股份,2023,1,2023-05-29,0.008866,0.06701,-0.650376,0.218093,0.106453,3.31322,0.06692627058846944,26.03
sz.301006,迈拓股份,2023,1,2023-05-29,0.034862,0.413528,0.335422,0.115237,0.056176,2.890625,0.1502870838462949,24.98
